rank_test_score,mean_test_score,std_test_score,params
1,0.6304290767701188,0.038444012328475115,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.15, 'colsample_bytree': 0.7}"
2,0.624479195404591,0.05514945208534354,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.15, 'colsample_bytree': 0.9}"
3,0.624437812277664,0.0403518914252208,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}"
4,0.6233923657646849,0.038010794883362856,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
5,0.6222565810506346,0.04532747419988482,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.6}"
6,0.621614987467722,0.04322354837213204,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}"
7,0.6183106896542274,0.04411132348162068,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.9}"
8,0.6176192526923499,0.05071663163715736,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
9,0.6176019114270561,0.04889196565662811,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}"
10,0.6163242050177201,0.03935831523581026,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}"
11,0.61621303523816,0.027343198595215123,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.6}"
12,0.614628144803061,0.043314918711869474,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.9}"
13,0.6145957983440398,0.03830168436343331,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
14,0.613772390220775,0.04748064930576613,"{'subsample': 0.7, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
15,0.6134781196673205,0.05430759161121272,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}"
16,0.6132984466101338,0.04335908223113927,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.15, 'colsample_bytree': 0.7}"
17,0.6091543513826263,0.03769286677162175,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
18,0.6049697303841928,0.041845712115827056,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
19,0.6015997017408413,0.028533395141099798,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.15, 'colsample_bytree': 0.9}"
20,0.5993833686870562,0.044837947000390066,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.6}"
